iter	Passed	Remaining
1531	104705	31985
1532	104779	31919
1533	104842	31849
1534	104905	31779
1535	104978	31712
1536	105042	31642
1537	105107	31573
1538	105178	31505
1539	105246	31437
1540	105313	31368
1541	105388	31302
1542	105464	31236
1543	105536	31168
1544	105601	31099
1545	105664	31029
1546	105726	30959
1547	105796	30891
1548	105863	30822
1549	105933	30754
1550	105999	30685
1551	106069	30617
1552	106132	30548
1553	106201	30480
1554	106265	30410
1555	106331	30341
1556	106404	30274
1557	106466	30204
1558	106528	30133
1559	106606	30068
1560	106668	29998
1561	106732	29928
1562	106805	29861
1563	106866	29791
1564	106929	29721
1565	107001	29654
1566	107065	29584
1567	107128	29515
1568	107196	29446
1569	107263	29377
1570	107325	29307
1571	107398	29240
1572	107459	29170
1573	107531	29103
1574	107605	29036
1575	107669	28966
1576	107748	28901
1577	107810	28831
1578	107871	28761
1579	107935	28691
1580	108009	28624
1581	108073	28555
1582	108148	28488
1583	108212	28419
1584	108279	28350
1585	108343	28281
1586	108421	28215
1587	108486	28146
1588	108556	28078
1589	108628	28011
1590	108693	27941
1591	108762	27873
1592	108828	27804
1593	108893	27735
1594	108957	27666
1595	109030	27599
1596	109101	27531
1597	109169	27463
1598	109239	27395
1599	109305	27326
1600	109373	27258
1601	109453	27192
1602	109517	27123
1603	109591	27056
1604	109653	26986
1605	109714	26916
1606	109778	26846
1607	109845	26778
1608	109907	26708
1609	109966	26637
1610	110034	26569
1611	110094	26499
1612	110164	26431
1613	110230	26362
1614	110289	26291
1615	110350	26221
1616	110429	26156
1617	110493	26086
1618	110554	26016
1619	110621	25948
1620	110691	25880
1621	110757	25811
1622	110824	25742
1623	110889	25673
1624	110950	25603
1625	111016	25535
1626	111094	25469
1627	111156	25399
1628	111223	25330
1629	111291	25262
1630	111361	25194
1631	111428	25125
1632	111494	25057
1633	111554	24987
1634	111615	24917
1635	111682	24848
1636	111745	24779
1637	111807	24709
1638	111875	24641
1639	111941	24572
1640	112006	24503
1641	112073	24435
1642	112138	24365
1643	112202	24296
1644	112272	24229
1645	112331	24158
1646	112401	24090
1647	112474	24023
1648	112539	23954
1649	112604	23885
1650	112674	23818
1651	112739	23748
1652	112804	23680
1653	112869	23611
1654	112934	23542
1655	113002	23473
1656	113070	23405
1657	113141	23337
1658	113211	23270
